"method","f","Tt","replica","rmse_lambda1"
"sir_laplace","quadratic",1600,7,0.299004458867459
"sir_collapsed","quadratic",1600,7,0.298930509028131
"stan","quadratic",1600,7,0.297330135182557
"montoril","sinusoidal",1600,7,0.32105687273141
"pg_apf","sinusoidal",1600,7,0.318869831683417
"sir_laplace","sinusoidal",1600,7,0.317672710655581
"sir_collapsed","sinusoidal",1600,7,0.320879917943325
"stan","sinusoidal",1600,7,0.317069390592314
"montoril","constant",200,8,0.805093229594865
"pg_apf","constant",200,8,0.813920480258412
"sir_laplace","constant",200,8,0.812823738616731
"sir_collapsed","constant",200,8,0.814959967986359
"stan","constant",200,8,0.811672956129566
"montoril","linear",200,8,0.391871540298806
"pg_apf","linear",200,8,0.399316483875372
"sir_laplace","linear",200,8,0.404114817839364
"sir_collapsed","linear",200,8,0.422038649628836
"stan","linear",200,8,0.397776334764694
"montoril","quadratic",200,8,0.367661147481777
"pg_apf","quadratic",200,8,0.381860808538922
"sir_laplace","quadratic",200,8,0.393868151702278
"sir_collapsed","quadratic",200,8,0.409121207227124
"stan","quadratic",200,8,0.385410417442396
"montoril","sinusoidal",200,8,0.42710967176708
"pg_apf","sinusoidal",200,8,0.426054892933306
"sir_laplace","sinusoidal",200,8,0.435017366887676
"sir_collapsed","sinusoidal",200,8,0.444026679274177
"stan","sinusoidal",200,8,0.424835627811871
"montoril","constant",400,8,0.669200158681574
"pg_apf","constant",400,8,0.668369819885812
"sir_laplace","constant",400,8,0.668063722536476
"sir_collapsed","constant",400,8,0.665234980698503
"stan","constant",400,8,0.667618735244685
"montoril","linear",400,8,0.390250518155897
"pg_apf","linear",400,8,0.395372851363331
"sir_laplace","linear",400,8,0.394389507974098
"sir_collapsed","linear",400,8,0.400598146237629
"stan","linear",400,8,0.395278823199126
"montoril","quadratic",400,8,0.400069626119416
"pg_apf","quadratic",400,8,0.404753403802495
"sir_laplace","quadratic",400,8,0.40515879261088
"sir_collapsed","quadratic",400,8,0.410064441035342
